docid	document_content
2820	"{""category_name"": ""Translation"", ""tool_name"": ""Bidirectional Text Language Translation"", ""api_name"": ""Detect Language"", ""api_description"": ""If you want to detect language only and not translate you can provide the text parameter and the detected language will be provided in the results"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""I am fine thank you.""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""message"": ""str""}}"
2821	"{""category_name"": ""Translation"", ""tool_name"": ""Bidirectional Text Language Translation"", ""api_name"": ""Get Supported Languages"", ""api_description"": ""takes no inputs and provides an array of supported language with iso 2 code and name of language in english."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""message"": ""str""}}"
2822	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Dictionary Synonyms (TEMPORARILY UNAVAILABLE)"", ""api_description"": ""Dictionary Synonyms"", ""required_parameters"": [{""name"": ""language"", ""type"": ""STRING"", ""description"": """", ""default"": """"}, {""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": {""input_text"": ""str"", ""languages"": ""empty list""}, ""message"": ""str""}}"
2823	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Dictionary Lookup (TEMPORARILY UNAVAILABLE)"", ""api_description"": ""Dictionary Lookup"", ""required_parameters"": [{""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET""}"
2827	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Transliterate (Any to Latin)"", ""api_description"": ""Transliteration endpoint provides you with transliteration of text from any language to Latin. Transliterate \""\u3053\u3093\u306b\u3061\u306f\"" to \""kon'nichiha\"" with ease."", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": ""Transliterate any text to Latin."", ""default"": ""\u3053\u3093\u306b\u3061\u306f\u3002""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": {""text"": ""str"", ""transliteration"": ""str""}, ""message"": ""NoneType""}}"
2828	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Autocomplete"", ""api_description"": ""This endpoint provides autocomplete (word completion) for 80+ languages."", ""required_parameters"": [{""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": ""aw""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": ""NoneType"", ""message"": ""str""}}"
2822	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Dictionary Synonyms (TEMPORARILY UNAVAILABLE)"", ""api_description"": ""Dictionary Synonyms"", ""required_parameters"": [{""name"": ""language"", ""type"": ""STRING"", ""description"": """", ""default"": """"}, {""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": {""input_text"": ""str"", ""languages"": ""empty list""}, ""message"": ""str""}}"
2823	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Dictionary Lookup (TEMPORARILY UNAVAILABLE)"", ""api_description"": ""Dictionary Lookup"", ""required_parameters"": [{""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET""}"
2824	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Dictionary Examples (TEMPORARILY UNAVAILABLE)"", ""api_description"": ""Dictionary Examples"", ""required_parameters"": [{""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": """"}, {""name"": ""language"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": {""input_text"": ""str"", ""languages"": ""empty list""}, ""message"": ""str""}}"
2825	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Dictionary Antonyms (TEMPORARILY UNAVAILABLE)"", ""api_description"": ""Dictionary Antonyms"", ""required_parameters"": [{""name"": ""language"", ""type"": ""STRING"", ""description"": """", ""default"": """"}, {""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": {""input_text"": ""str"", ""languages"": ""empty list""}, ""message"": ""str""}}"
